entry_bar,exit_bar,bars_held,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_cash,capital
93.0,115.0,22.0,BUY,3022.422,2949.1754,SL,-2.453,-245.34,99754.66
116.0,119.0,3.0,BUY,2879.1963,2803.5847,SL,-2.656,-264.96,99489.69
120.0,146.0,26.0,BUY,2862.5535,3045.8815,TP,6.374,634.18,100123.88
,,,BUY,,,EOD,7.385,739.39,100863.26
