entry_bar,exit_bar,bars_held,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_cash,capital
45,73,28,SELL,1595.4649,1510.3331,TP,5.306,530.59,100530.59
95,101,6,SELL,1505.7834,1422.8323,TP,5.479,550.79,101081.38
112,133,21,SELL,1459.6136,1505.6267,SL,-3.182,-321.68,100759.69
148,152,4,SELL,1519.24,1555.7092,SL,-2.43,-244.9,100514.8
173,174,1,SELL,1649.175,1689.0513,SL,-2.448,-246.06,100268.74
