entry_bar,exit_bar,bars_held,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_cash,capital
30.0,56.0,26.0,BUY,112121.2626,124889.2153,TP,11.358,1135.76,101135.76
62.0,100.0,38.0,SELL,112718.1028,90903.4711,TP,19.323,1954.27,103090.04
110.0,174.0,64.0,BUY,91379.607,81043.1419,SL,-11.342,-1169.2,101920.83
,,,SELL,,,EOD,-10.654,-1085.91,100834.93
