entry_bar,exit_bar,bars_held,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_cash,capital
34.0,46.0,12.0,SELL,4709.8039,3869.016,TP,17.822,1782.19,101782.19
51.0,57.0,6.0,SELL,4212.9625,4621.7007,SL,-9.732,-990.54,100791.65
59.0,61.0,2.0,BUY,4449.9238,3981.4054,SL,-10.559,-1064.23,99727.42
62.0,103.0,41.0,SELL,3827.8051,2648.518,TP,30.778,3069.45,102796.88
108.0,174.0,66.0,BUY,2960.8397,2426.1956,SL,-18.087,-1859.31,100937.57
,,,BUY,,,EOD,15.345,1548.93,102486.5
